Archivo,Promedio
WATER_VAPOR_1.csv,0.6505000000000001
WATER_VAPOR_2.csv,0.5355000000000001
WATER_VAPOR_3.csv,0.705
WATER_VAPOR_4.csv,1.003
WATER_VAPOR_5.csv,0.7445
WATER_VAPOR_6.csv,0.9925
WATER_VAPOR_7.csv,0.8285
WATER_VAPOR_8.csv,0.6895
WATER_VAPOR_9.csv,0.8805
WATER_VAPOR_10.csv,0.8939999999999999
WATER_VAPOR_11.csv,0.9765
WATER_VAPOR_12.csv,1.4369999999999998
WATER_VAPOR_13.csv,1.572
WATER_VAPOR_14.csv,1.4700000000000002
WATER_VAPOR_15.csv,0.777
WATER_VAPOR_16.csv,1.7469999999999999
WATER_VAPOR_17.csv,1.2510000000000001
WATER_VAPOR_18.csv,1.7665
WATER_VAPOR_19.csv,1.704
WATER_VAPOR_20.csv,1.4934999999999998
WATER_VAPOR_21.csv,1.1934999999999998
WATER_VAPOR_22.csv,1.616
WATER_VAPOR_23.csv,1.9639999999999997
WATER_VAPOR_24.csv,1.905
WATER_VAPOR_25.csv,1.6285
WATER_VAPOR_26.csv,2.2035
WATER_VAPOR_27.csv,2.2655000000000003
WATER_VAPOR_28.csv,1.8519999999999999
WATER_VAPOR_29.csv,2.268
WATER_VAPOR_30.csv,2.223
WATER_VAPOR_31.csv,2.0975
WATER_VAPOR_32.csv,1.6619999999999997
WATER_VAPOR_33.csv,1.8345000000000002
WATER_VAPOR_34.csv,1.5875
WATER_VAPOR_35.csv,
WATER_VAPOR_36.csv,1.5014999999999998
WATER_VAPOR_37.csv,1.229
WATER_VAPOR_38.csv,1.6875
WATER_VAPOR_39.csv,1.233
WATER_VAPOR_40.csv,1.5985
WATER_VAPOR_41.csv,1.014
WATER_VAPOR_42.csv,0.476
WATER_VAPOR_43.csv,0.578
WATER_VAPOR_44.csv,0.6625
WATER_VAPOR_45.csv,1.4505
WATER_VAPOR_46.csv,0.48950000000000005
