date,land_surface,ndvi,precipitation,water_vapor,fire_count
2023-01-01,24.11023615,0.3546,1.0,0.741,0
2023-01-09,24.0964572,0.3546,1.0,0.7075000000000001,0
2023-01-17,25.3090553,0.32515,1.0,0.8225,0
2023-01-25,26.67322855,0.32515,1.0,0.9835,0
2023-02-02,27.003937,0.3041,1.0,0.7304999999999999,0
2023-02-10,28.14763765,0.3041,1.0,1.0135,0
2023-02-18,29.38779535,0.2791,1.0,0.908,0
2023-02-26,30.46259865,0.2791,1.0,0.7785,8
2023-03-06,34.36220505,0.2632,14.905499999999998,1.0174999999999998,0
2023-03-14,32.37795255,0.2632,14.905499999999998,0.9205,3
2023-03-22,37.2834641,0.26115,14.905499999999998,1.1205000000000005,0
2023-03-30,37.0216537,0.26115,14.905499999999998,1.0355,1
2023-04-07,32.2125985,0.27805,11.8225,1.374,1
2023-04-15,38.41338645,0.27805,11.8225,1.44,0
2023-04-23,38.6338577,0.25455,11.8225,0.8925000000000001,3
2023-05-01,38.1102362,0.25455,39.736,1.561,1
2023-05-09,39.72244055,0.2692,39.736,1.386,1
2023-05-17,36.1811025,0.2692,39.736,1.5825,0
2023-05-25,36.59448779999999,0.28835,39.736,1.5544999999999998,0
2023-06-02,40.57677145,0.28835,9.752,1.1935,0
2023-06-10,43.41535435,0.2866999999999999,9.752,0.857,3
2023-06-18,41.27952765,0.2866999999999999,9.752,1.377,1
2023-06-26,33.97637785,0.27845,9.752,1.4885,0
2023-07-04,31.509842549999995,0.27845,107.906,2.0895,1
2023-07-12,34.37598405,0.3551499999999999,107.906,1.691,0
2023-07-20,32.3779527,0.3551499999999999,107.906,2.3515,0
2023-07-28,32.10236225,0.38825,107.906,2.26,2
2023-08-05,27.83070875,0.38825,185.0045,1.9695,4
2023-08-13,26.82480295,0.46105,185.0045,20001.75,0
2023-08-21,26.54921245,0.46105,185.0045,2.7095,0
2023-08-29,30.0078739,0.51735,185.0045,2.0245,0
2023-09-06,30.145669100000003,0.51735,13.514999999999995,1.451,1
2023-09-14,32.612204150000004,0.4666,13.514999999999995,1.7094999999999998,1
2023-09-22,34.40354365,0.4666,13.514999999999995,1.46,2
2023-09-30,30.3385831,0.4136499999999999,13.514999999999995,,0
2023-10-08,24.165354,0.4136499999999999,41.451,2.136,0
2023-10-16,27.265748050000003,0.4102,41.451,1.655,0
2023-10-24,25.0748032,0.4102,41.451,1.6319999999999997,0
2023-11-01,28.188976200000003,0.40485,30.9495,1.1785,0
2023-11-09,26.562992150000003,0.40485,30.9495,1.5590000000000002,0
2023-11-17,27.44488185,0.4021499999999999,30.9495,1.0205,0
2023-11-25,22.37401555,0.4021499999999999,30.9495,0.575,0
2023-12-03,18.5019686,0.4367,60.94250000000001,1.168,0
2023-12-11,17.05511815,0.4367,60.94250000000001,0.6739999999999999,0
2023-12-19,19.71456685,0.3926999999999999,60.94250000000001,1.0365,0
2023-12-27,18.7086614,0.3926999999999999,60.94250000000001,0.5045,0
