date,land_surface,ndvi,precipitation,water_vapor,fire_count
2023-01-01,26.4803152,0.5584,3.4505000000000003,1.262,0
2023-01-09,24.840551,0.5584,3.4505000000000003,0.9265,0
2023-01-17,25.81889765,0.49805,3.4505000000000003,1.362,0
2023-01-25,24.68897615,0.49805,3.4505000000000003,1.713,0
2023-02-02,24.4960628,0.48825,4.967999999999999,1.2205,0
2023-02-10,24.1377953,0.48825,4.967999999999999,1.6204999999999998,2
2023-02-18,29.59448865,0.4305499999999999,4.967999999999999,1.4675,0
2023-02-26,30.8897641,0.4305499999999999,4.967999999999999,1.427,0
2023-03-06,32.69488199999999,0.4154,5.445,1.7839999999999996,4
2023-03-14,30.2559059,0.4154,5.445,1.6620000000000004,1
2023-03-22,35.62992185,0.4012,5.445,1.719,1
2023-03-30,10025.917716699998,0.4012,5.445,70000.0655,0
2023-04-07,27.47244125,0.4902000000000001,68.955,15001.491499999998,0
2023-04-15,30.049212800000003,0.4902000000000001,68.955,5002.225,0
2023-04-23,30.29724395,0.6278,68.955,1.3285,0
2023-05-01,32.2952757,0.6278,284.073,2.627,0
2023-05-09,29.81496035,0.6593,284.073,2.354,0
2023-05-17,29.19488205,0.6593,284.073,5002.9980000000005,0
2023-05-25,28.230314850000003,0.7235499999999999,284.073,2.3975,0
2023-06-02,29.44291355,0.7235499999999999,55.261,2.8295,0
2023-06-10,33.7283461,0.6936000000000001,55.261,1.9115,0
2023-06-18,36.44291355,0.6936000000000001,55.261,2.641,0
2023-06-26,35.671260100000005,0.5944,55.261,3.0145,0
2023-07-04,37.1456694,0.5944,6.7970000000000015,3.079,1
2023-07-12,39.55708610000001,0.53675,6.7970000000000015,2.5245,2
2023-07-20,37.80708715,0.53675,6.7970000000000015,3.957,3
2023-07-28,39.5570863,0.4619,6.7970000000000015,3.9905,2
2023-08-05,40.05314925,0.4619,115.27150000000002,2.669,0
2023-08-13,39.48818905,0.4297499999999999,115.27150000000002,4.046000000000001,4
2023-08-21,36.0019685,0.4297499999999999,115.27150000000002,3.142,1
2023-08-29,38.84055115,0.5052,115.27150000000002,3.277,2
2023-09-06,38.88188965,0.5052,39.496,3.111,0
2023-09-14,35.9881889,0.4953,39.496,3.216500000000001,0
2023-09-22,35.795275399999994,0.4953,39.496,2.9175,8
2023-09-30,34.58267685,0.5056499999999999,39.496,,0
2023-10-08,28.02362185,0.5056499999999999,97.0465,3.454,0
2023-10-16,28.47834655,0.59605,97.0465,1.965,3
2023-10-24,29.842519650000003,0.59605,97.0465,25001.749,0
2023-11-01,27.26574825,0.5791000000000001,112.865,1.929,3
2023-11-09,23.72440935,0.5791000000000001,112.865,25001.2815,0
2023-11-17,24.2755905,0.6132500000000001,112.865,2.083,1
2023-11-25,5021.8929133500005,0.6132500000000001,112.865,20000.657,0
2023-12-03,21.1889763,0.6082,112.6355,1.1275,0
2023-12-11,19.011811,0.6082,112.6355,1.0495,0
2023-12-19,17.30314945,0.6047,112.6355,10001.229,0
2023-12-27,20.54133865,0.6047,112.6355,1.073,0
