Archivo,Promedio
NDVI_1.csv,0.3693
NDVI_2.csv,0.34285
NDVI_3.csv,0.31775
NDVI_4.csv,0.30655
NDVI_5.csv,0.2939
NDVI_6.csv,0.28945
NDVI_7.csv,0.32110000000000005
NDVI_8.csv,0.30925
NDVI_9.csv,0.33865
NDVI_10.csv,0.33730000000000004
NDVI_11.csv,0.3101
NDVI_12.csv,0.3077
NDVI_13.csv,0.32894999999999996
NDVI_14.csv,0.33875
NDVI_15.csv,0.34135
NDVI_16.csv,0.3572
NDVI_17.csv,0.33255
NDVI_18.csv,0.3227
NDVI_19.csv,0.3269
NDVI_20.csv,0.35519999999999996
NDVI_21.csv,0.37515
NDVI_22.csv,0.4252000000000001
NDVI_23.csv,0.3602
