Archivo,Promedio
LAND_SURFACE_1.csv,26.6181102
LAND_SURFACE_2.csv,25.5708659
LAND_SURFACE_3.csv,26.397637850000002
LAND_SURFACE_4.csv,27.8582677
LAND_SURFACE_5.csv,27.98228375
LAND_SURFACE_6.csv,29.5531497
LAND_SURFACE_7.csv,31.316929699999996
LAND_SURFACE_8.csv,34.086614149999996
LAND_SURFACE_9.csv,35.657480449999994
LAND_SURFACE_10.csv,34.83070855
LAND_SURFACE_11.csv,38.5649605
LAND_SURFACE_12.csv,37.0629921
LAND_SURFACE_13.csv,36.553149399999995
LAND_SURFACE_14.csv,40.78346485
LAND_SURFACE_15.csv,39.956692999999994
LAND_SURFACE_16.csv,40.48031445
LAND_SURFACE_17.csv,41.91338595
LAND_SURFACE_18.csv,40.94881855
LAND_SURFACE_19.csv,40.60433114999999
LAND_SURFACE_20.csv,43.139763550000005
LAND_SURFACE_21.csv,44.324803450000005
LAND_SURFACE_22.csv,42.9330707
LAND_SURFACE_23.csv,35.450786900000004
LAND_SURFACE_24.csv,31.399606550000005
LAND_SURFACE_25.csv,33.70078705
LAND_SURFACE_26.csv,32.281496600000004
LAND_SURFACE_27.csv,31.564960900000006
LAND_SURFACE_28.csv,28.188976200000003
LAND_SURFACE_29.csv,27.2381892
LAND_SURFACE_30.csv,26.65944865
LAND_SURFACE_31.csv,30.421259850000002
LAND_SURFACE_32.csv,30.793307399999996
LAND_SURFACE_33.csv,31.055117950000003
LAND_SURFACE_34.csv,34.5688974
LAND_SURFACE_35.csv,31.234252149999996
LAND_SURFACE_36.csv,24.440944899999998
LAND_SURFACE_37.csv,27.0177166
LAND_SURFACE_38.csv,27.527559450000002
LAND_SURFACE_39.csv,29.222440800000005
LAND_SURFACE_40.csv,26.85236235
LAND_SURFACE_41.csv,28.50590525
LAND_SURFACE_42.csv,23.55905485
LAND_SURFACE_43.csv,20.555118150000002
LAND_SURFACE_44.csv,19.645669400000003
LAND_SURFACE_45.csv,20.8582677
LAND_SURFACE_46.csv,20.44488175
